,id,text,game,cleaned,english,len,sw_removed,stemmed
33,1.38018770564095e+18,"@utterer @deathloop Silly, idiotic, conspiracy comments like yours do not need to be proven wrong. They just are. Dumb. https://t.co/7KPDdn6gBG",DeathLoop,utterer deathloop silly idiotic conspiracy comments like yours do not need to be proven wrong they just are dumb https t co kpddn gbg,utterer silly idiotic conspiracy like yours do not need to be proven wrong they just are dumb t,18,utterer silly idiotic conspiracy like need proven wrong dumb,utter silli idiot conspiraci like need proven wrong dumb
35,1.38018078817654e+18,Hey thatâ€™s okay Deathloop! We donâ€™t kind. That gives folks more time to attempt to get a PS5 https://t.co/lo3p0vbs8f,DeathLoop,hey that s okay deathloop we don t kind that gives folks more time to attempt to get a ps https t co lo p vbs f,hey that s we don t kind that more time to attempt to get a t lo p f,19,hey kind time attempt get lo,hey kind time attempt get lo
36,1.38017843916511e+18,I'm perfectly fine with a video game being delayed. Too many companies in the last decade pushed out unfinished products and still wanted full price. Take all the time you need. https://t.co/wxzJrXGNGM,DeathLoop,i m perfectly fine with a video game being delayed too many companies in the last decade pushed out unfinished products and still wanted full price take all the time you need https t co wxzjrxgngm,i m perfectly fine with a video game being too many in the last decade out unfinished and still full price take all the time you need t,28,perfectly fine video many last decade unfinished still full price take time need,perfectli fine video mani last decad unfinish still full price take time need
37,1.38017792666297e+18,"@vicious696 @utterer @deathloop The good ole ""My horrible hot take is being called out for the trash opinion that it was so imma say it was sarcasm and blame everyone for not understanding it rather than owning up to it like an adult""

That one never gets old.",DeathLoop,vicious utterer deathloop the good ole my horrible hot take is being called out for the trash opinion that it was so imma say it was sarcasm and blame everyone for not understanding it rather than owning up to it like an adult that one never gets old,vicious utterer the good my horrible hot take is being out for the trash opinion that it was so say it was sarcasm and blame everyone for not understanding it rather than up to it like an adult that one never old,42,vicious utterer good horrible hot take trash opinion say sarcasm blame everyone understanding rather like adult one never old,viciou utter good horribl hot take trash opinion say sarcasm blame everyon understand rather like adult one never old
38,1.38017614333727e+18,Health and safety always comes first I canâ€™t wait to play it come September 14th! https://t.co/giXMJ9MldG,DeathLoop,health and safety always comes first i can t wait to play it come september th https t co gixmj mldg,health and safety always comes first i can t wait to play it come th t,16,health safety always comes first wait come th,health safeti alway come first wait come th
41,1.38017254459927e+18,"Deathloop just got fragged with a MAJOR delay!  @ Branson, Missouri https://t.co/Li0CyfPD3r",DeathLoop,deathloop just got fragged with a major delay branson missouri https t co li cyfpd r,just got with a major delay t li r,9,got major delay li,got major delay li
42,1.38017177741499e+18,Deathloop was one I was REALLY looking forward to.,DeathLoop,deathloop was one i was really looking forward to,was one i was really looking forward to,8,one really looking forward,one realli look forward
43,1.38016802267404e+18,keep on being COVID safe and aware. I support it https://t.co/o1aokRH3XJ,DeathLoop,keep on being covid safe and aware i support it https t co o aokrh xj,keep on being covid safe and aware i support it t o,12,keep covid safe aware support,keep covid safe awar support
44,1.3801652343762e+18,@jmdornbush your podcast is cursed while listening to the Beyond podcast this morning @deathloop gets delayed to Sept. your podcast has magical powers.,DeathLoop,jmdornbush your podcast is cursed while listening to the beyond podcast this morning deathloop gets delayed to sept your podcast has magical powers,your is cursed while listening to the beyond this morning to sept your magical,14,cursed listening beyond morning sept magical,curs listen beyond morn sept magic
45,1.38016385837596e+18,Please take your time. This is the right move. https://t.co/fr4cUKRlzR,DeathLoop,please take your time this is the right move https t co fr cukrlzr,please take your time this is the right move t,10,please take time right move,pleas take time right move
48,1.3748068451441e+18,"Deathloop Dev Talks About Microsoft Acquisition And Impact Of Game Pass
https://t.co/XMoCftpTps",DeathLoop,deathloop dev talks about microsoft acquisition and impact of game pass https t co xmocftptps,dev about acquisition and impact of game pass t,9,dev acquisition impact pass,dev acquisit impact pass
49,1.37480315216429e+18,"Deathloop director says Xbox Game Pass will let Arkane â€œremain creativeâ€
https://t.co/7wUNGaMYiz",DeathLoop,deathloop director says xbox game pass will let arkane remain creative https t co wungamyiz,director game pass will let remain creative t,8,director pass let remain creative,director pass let remain creativ
50,1.37447715283855e+18,I swear if I donâ€™t get a PS5 before @deathloop drops Iâ€™m going to lose my mind..... https://t.co/TfuYZXlYRK,DeathLoop,i swear if i don t get a ps before deathloop drops i m going to lose my mind https t co tfuyzxlyrk,i swear if i don t get a before i m going to lose my mind t,17,swear get going lose mind,swear get go lose mind
51,1.37430072883599e+18,"@c0pper78 Returnal April 30th
Deathloop May 21st
Solar Ash June 2021
Ratchet &amp; Clank Rift Apart June 11th
FF7 Remake Intergrade June 2021
Little Devil Inside July 2021
Stray October 2021
Ghostwire Tokyo October 2021
Horizon: Forbidden West 2021
God of War: Ragnarok 2021/22",DeathLoop,c pper returnal april th deathloop may st solar ash june ratchet amp clank rift apart june th ff remake intergrade june little devil inside july stray october ghostwire tokyo october horizon forbidden west god of war ragnarok,c th may st solar ash june ratchet clank rift apart june th remake intergrade june little devil inside stray horizon forbidden west god of war,26,th may st solar ash june ratchet clank rift apart june th remake intergrade june little devil inside stray horizon forbidden west god war,th may st solar ash june ratchet clank rift apart june th remak intergrad june littl devil insid stray horizon forbidden west god war
53,1.37366474428927e+18,Deathloop has been pushed hard on my ps5 since launch. Constant presence on top banners on store and what not. https://t.co/NwBGh9ZV7R,DeathLoop,deathloop has been pushed hard on my ps since launch constant presence on top banners on store and what not https t co nwbgh zv r,been hard on my since launch constant presence on top on store and what not t r,17,hard since launch constant presence top store,hard sinc launch constant presenc top store
55,1.37079834021717e+18,With this being said i am hyped out of my mind for #Deathloop &amp; especially #GhostwireTokyo especially since theyâ€™re probably Bethesdaâ€™s playstation swan songs. https://t.co/PWgFd9a3Ff,DeathLoop,with this being said i am hyped out of my mind for deathloop amp especially ghostwiretokyo especially since they re probably bethesda s playstation swan songs https t co pwgfd a ff,with this being said i am out of my mind for especially especially since they re probably s swan t a,21,said mind especially especially since probably swan,said mind especi especi sinc probabl swan
56,1.36972660353894e+18,@The_CrapGamer Ik deathloop has release date...when the other ones coming out?,DeathLoop,the crapgamer ik deathloop has release date when the other ones coming out,the release date when the other coming out,8,release date coming,releas date come
57,1.36968564433579e+18,"Deathloop Still Remains PS5 Console Exclusive In Wake Of Microsoft Acquisition Of Bethesda
https://t.co/r24SCLE7wz",DeathLoop,deathloop still remains ps console exclusive in wake of microsoft acquisition of bethesda https t co r scle wz,still remains console exclusive in wake of acquisition of t r,11,still remains console exclusive wake acquisition,still remain consol exclus wake acquisit
58,1.36930999161461e+18,I need #GodOfWarRagnarok and #DEATHLOOP to hurry up and come out  #PS5,DeathLoop,i need godofwarragnarok and deathloop to hurry up and come out ps,i need and to hurry up and come out,9,need hurry come,need hurri come
59,1.368980895278e+18,DEATHLOOP is going to satisfy all of my BioShock gameplay cravings + affinity for â€˜70s aesthetics I just KNOW it,DeathLoop,deathloop is going to satisfy all of my bioshock gameplay cravings affinity for s aesthetics i just know it,is going to satisfy all of my affinity for s aesthetics i just know it,15,going satisfy affinity aesthetics know,go satisfi affin aesthet know
60,1.36897120498856e+18,"@zer0saber @LordAddictILP @JayDubcity16 â€œBesides the service games they currently have on the platform â€œ - Addict
Deathloop and ghost wire are both games that are already on the PlayStation platform.",DeathLoop,zer saber lordaddictilp jaydubcity besides the service games they currently have on the platform addict deathloop and ghost wire are both games that are already on the playstation platform,zer saber besides the service they currently have on the platform addict and ghost wire are both that are already on the platform,23,zer saber besides service currently platform addict ghost wire already platform,zer saber besid servic current platform addict ghost wire alreadi platform
61,1.36895191639533e+18,"@zer0saber @LordAddictILP @JayDubcity16 Microsoft DOES NOT OWN Bethesda. So whatever deals Bethesda makes are their own. When Microsoft buys Bethesda, in the future, they get to decide what deals to make. Deathloop and ghost wire are both done deals. The ink is dry. The money is paid. The bag been handed over.",DeathLoop,zer saber lordaddictilp jaydubcity microsoft does not own bethesda so whatever deals bethesda makes are their own when microsoft buys bethesda in the future they get to decide what deals to make deathloop and ghost wire are both done deals the ink is dry the money is paid the bag been handed over,zer saber does not own so whatever are their own when in the future they get to decide what to make and ghost wire are both done the ink is dry the money is the bag been handed over,39,zer saber whatever future get decide make ghost wire done ink dry money bag handed,zer saber whatev futur get decid make ghost wire done ink dri money bag hand
62,1.36855396975319e+18,"@Wario64 Wow applies to Returnal, Deathloop, and Ratchet &amp; Clank! (And Bugsnax!)",DeathLoop,wario wow applies to returnal deathloop and ratchet amp clank and bugsnax,wow to and ratchet clank and,6,wow ratchet clank,wow ratchet clank
